raman_shift,raw_intensity,spike_candidate,processed_intensity
490.985,168.0,False,0.2906574394463668
491.287,154.0,False,0.2664359861591695
491.592,162.0,False,0.28027681660899656
491.896,158.0,False,0.27335640138408307
492.2,162.0,False,0.28027681660899656
492.504,134.0,False,0.23183391003460208
492.809,152.0,False,0.2629757785467128
493.113,154.0,False,0.2664359861591695
493.417,150.0,False,0.25951557093425603
493.719,158.0,False,0.27335640138408307
494.023,158.0,False,0.27335640138408307
494.327,162.0,False,0.28027681660899656
494.632,160.0,False,0.2768166089965398
494.936,156.0,False,0.2698961937716263
495.24,156.0,False,0.2698961937716263
495.544,164.0,False,0.2837370242214533
495.846,162.0,False,0.28027681660899656
496.15,164.0,False,0.2837370242214533
496.454,148.0,False,0.2560553633217993
496.758,158.0,False,0.27335640138408307
497.062,156.0,False,0.2698961937716263
497.366,162.0,False,0.28027681660899656
497.668,150.0,False,0.25951557093425603
497.973,168.0,False,0.2906574394463668
498.277,156.0,False,0.2698961937716263
498.581,178.0,False,0.3079584775086505
498.885,158.0,False,0.27335640138408307
499.189,156.0,False,0.2698961937716263
499.49,166.0,False,0.28719723183391005
499.794,172.0,False,0.2975778546712803
